"income","Recency","Age","Children","Education","MaritalStatus","Customer_Days","complain","NumPurchases","NumWebVisitsMonth","MntCategories","MntTotal","MntRegularProds","MntGoldProds","AcceptedCmp","AcceptedCmpOverall"
58138.0,58,63,"{""Teen"": 0, ""Kid"": 0}",graduation,single,2822,0,"{""Deals"": 3, ""Web"": 8, ""Catalog"": 10, ""Store"": 4}",7,"{""Fish"": 172, ""Fruits"": 88, ""Meat"": 546, ""Sweet"": 88, ""Wines"": 635}",1529,1441,88,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 1}",0
46344.0,38,66,"{""Teen"": 1, ""Kid"": 1}",graduation,single,2272,0,"{""Deals"": 2, ""Web"": 1, ""Catalog"": 1, ""Store"": 2}",5,"{""Fish"": 2, ""Fruits"": 1, ""Meat"": 6, ""Sweet"": 1, ""Wines"": 11}",21,15,6,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
71613.0,26,55,"{""Teen"": 0, ""Kid"": 0}",graduation,together,2471,0,"{""Deals"": 1, ""Web"": 8, ""Catalog"": 2, ""Store"": 10}",4,"{""Fish"": 111, ""Fruits"": 49, ""Meat"": 127, ""Sweet"": 21, ""Wines"": 426}",734,692,42,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
26646.0,26,36,"{""Teen"": 0, ""Kid"": 1}",graduation,together,2298,0,"{""Deals"": 2, ""Web"": 2, ""Catalog"": 0, ""Store"": 4}",6,"{""Fish"": 10, ""Fruits"": 4, ""Meat"": 20, ""Sweet"": 3, ""Wines"": 11}",48,43,5,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
58293.0,94,39,"{""Teen"": 0, ""Kid"": 1}",PhD,married,2320,0,"{""Deals"": 5, ""Web"": 5, ""Catalog"": 3, ""Store"": 6}",5,"{""Fish"": 46, ""Fruits"": 43, ""Meat"": 118, ""Sweet"": 27, ""Wines"": 173}",407,392,15,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
62513.0,16,53,"{""Teen"": 1, ""Kid"": 0}",master,together,2452,0,"{""Deals"": 2, ""Web"": 6, ""Catalog"": 4, ""Store"": 10}",6,"{""Fish"": 0, ""Fruits"": 42, ""Meat"": 98, ""Sweet"": 42, ""Wines"": 520}",702,688,14,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
55635.0,34,49,"{""Teen"": 1, ""Kid"": 0}",graduation,divorced,2752,0,"{""Deals"": 4, ""Web"": 7, ""Catalog"": 3, ""Store"": 7}",6,"{""Fish"": 50, ""Fruits"": 65, ""Meat"": 164, ""Sweet"": 49, ""Wines"": 235}",563,536,27,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
33454.0,32,35,"{""Teen"": 0, ""Kid"": 1}",PhD,married,2576,0,"{""Deals"": 2, ""Web"": 4, ""Catalog"": 0, ""Store"": 4}",8,"{""Fish"": 3, ""Fruits"": 10, ""Meat"": 56, ""Sweet"": 1, ""Wines"": 76}",146,123,23,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 0}",0
30351.0,19,46,"{""Teen"": 0, ""Kid"": 1}",PhD,together,2547,0,"{""Deals"": 1, ""Web"": 3, ""Catalog"": 0, ""Store"": 2}",9,"{""Fish"": 3, ""Fruits"": 0, ""Meat"": 24, ""Sweet"": 3, ""Wines"": 14}",44,42,2,"{""1st"": 0, ""2nd"": 0, ""3rd"": 0, ""4th"": 0, ""5th"": 0, ""last"": 1}",0
5648.0,68,70,"{""Teen"": 1, ""Kid"": 1}",PhD,together,2267,0,"{""Deals"": 1, ""Web"": 1, ""Catalog"": 0, ""Store"": 0}",20,"{""Fish"": 1, ""Fruits"": 0, ""Meat"": 6, ""Sweet"": 1, ""Wines"": 28}",36,23,13,"{""1st"": 0, ""2nd"": 0, ""3rd"": 1, ""4th"": 0, ""5th"": 0, ""last"": 0}",1
